Date,Score,Price
2025-12-24,70,6909.7900390625
2025-12-25,75,6932.0498046875
2025-12-26,75,6932.0498046875
2025-12-29,55,6929.93994140625
2025-12-30,60,6905.740234375
2025-12-31,50,6896.240234375
2026-01-01,50,6845.5
2026-01-02,60,6845.5
2026-01-05,65,6858.47021484375
2026-01-06,75,6902.0498046875
2026-01-07,60,6944.81982421875
2026-01-08,60,6920.93017578125
2026-01-09,70,6921.4599609375
2026-01-12,65,6966.27978515625
2026-01-13,75,6977.27001953125
2026-01-14,70,6963.740234375
2026-01-15,50,6926.60009765625
2026-01-16,60,6944.47021484375
2026-01-19,65,6940.009765625
2026-01-20,55,6940.009765625
2026-01-21,60,6796.85986328125
2026-01-22,75,6875.6201171875
2026-01-23,75,6913.35009765625
2026-01-26,55,6915.60986328125
2026-01-27,60,6950.22998046875
2026-01-28,75,6978.60009765625
2026-01-29,70,6978.02978515625
2026-01-30,55,6969.009765625
2026-02-02,50,6939.02978515625
2026-02-03,75,6976.43994140625
2026-02-04,50,6917.81005859375
2026-02-05,50,6882.72021484375
2026-02-06,65,6798.39990234375
2026-02-09,65,6932.2998046875
2026-02-10,65,6964.81982421875
2026-02-11,65,6941.81005859375
2026-02-12,65,6941.47021484375
